Source : France Travail - STMT, Données brutes
Demandeurs d’emploi inscrits en fin de mois à France Travail par Commune de plus de 5000 hab. - France entière - Février 2024 - Données brutes
https://statistiques.pole-emploi.org/stmt/defm?nk=0&pp=las&ss=1
Commune de plus de 5000 hab.;Nombre de demandeurs d'emploi
Gignac 34150;  710
Gignac-la-Nerthe 13180;  920
Gisors 27140; 1 260
Givet 08600;  740
Givors 69700; 2 710
Gleizé 69400;  640
Golbey 88190;  940
Gond-Pontouvre 16160;  610
Gonesse 95500; 3 090
Gonfreville-l'Orcher 76700; 1 060
Gorges 44190;  330
Gouesnou 29850;  400
Gourbeyre 97113; 1 100
Gournay-en-Bray 76220;  560
Gournay-sur-Marne 93460;  480
Goussainville 95190; 3 320
Gouvieux 60270;  530
Goyave 97128; 1 150
Grabels 34790;  940
Gradignan 33170; 2 000
Grand-Bourg 97112;  730
Grand-Champ 56390;  370
Grandchamps-des-Fontaines 44119;  410
Grand-Charmont 25200;  710
Grand-Couronne 76530; 1 110
Grande-Synthe 59760; 2 840
Grand-Fort-Philippe 59153;  450
Grand-Santi 97340;  230
Grans 13450;  500
Granville 50400; 1 140
Grasse 06130; 4 790
Graulhet 81300; 1 590
Gravelines 59820; 1 050
Gray 70100;  640
Grenade 31330;  840
Grenay 62160;  720
Grenoble 38000; 15 710
Gretz-Armainvilliers 77220;  760
Grézieu-la-Varenne 69290;  450
Grigny 69520;  920
Grigny 91350; 3 250
Groslay 95410;  660
Gros-Morne 97213; 1 290
Gruissan 11430;  720
Guebwiller 68500; 1 190
Guémené-Penfao 44290;  480
Guénange 57310;  650
Guer 56380;  450
Guérande 44350; 1 310
Guéret 23000; 1 290
Gueugnon 71130;  490
Guichen 35580;  740
Guidel 56520;  860
Guilers 29820;  550
Guilherand-Granges 07500;  780
Guînes 62340;  590
Guingamp 22200;  970
Guipavas 29490; 1 050
Guipry-Messac 35480;  640
Guise 02120;  630
Gujan-Mestras 33470; 1 880
Guyancourt 78280; 2 450
Habsheim 68440;  360
Hagondange 57300;  860
Haguenau 67500; 3 210
Haillicourt 62940;  530
Halluin 59250; 1 920
Harfleur 76700; 1 010
Harnes 62440; 1 340
Hasparren 64240;  580
Haubourdin 59320; 1 490
Haute-Goulaine 44115;  350
Hautmont 59330; 2 310
Hauts de Bienne 39400;  560
